Name,Time,Lat,Longt,Alt,AirTemp,DewPoint,Precip,Pressure,RelativeHumidity,WindDirection,WindGust,WindSpeed,Visibility
E2P99,20221005,22.9677,120.685703,N/A,22.0,N/A,55.0,N/A,93.1,E,N/A,0.5,N/A
E2S96,20221006,22.598014,120.989761,N/A,25.3,N/A,403.5,N/A,76.2,N,N/A,2.3,N/A
E2S98,20221002,22.598922,120.980044,N/A,24.4,N/A,448.0,N/A,78.1,W,N/A,1.0,N/A
G2F82,20221003,24.031261,120.688133,N/A,25.0,N/A,47.5,N/A,83.0,NNW,N/A,1.9,N/A
G2L02,20221002,23.485028,120.473806,N/A,24.6,N/A,8.5,N/A,77.3,NNW,N/A,0.9,N/A
G2M35,20221002,23.58565,120.408111,N/A,25.3,N/A,4.0,N/A,79.5,N,N/A,1.7,N/A
G2P82,20221001,22.646611,120.356083,N/A,26.4,N/A,28.0,N/A,75.8,NNW,N/A,1.2,N/A
K2E36,20221003,24.495722,120.829111,N/A,23.3,N/A,19.5,N/A,85.1,N,N/A,3.3,N/A
K2E71,20221005,24.422861,120.871833,N/A,22.0,N/A,18.0,N/A,84.7,NNW,N/A,2.0,N/A
K2F75,20221001,24.225972,120.800917,N/A,22.3,N/A,21.0,N/A,80.6,N,N/A,1.1,N/A
U2H48,20221022,23.670306,120.798194,N/A,18.7,N/A,63.0,N/A,92.3,S,N/A,0.7,N/A
U2HA3,20221001,23.590856,120.888864,N/A,21.3,N/A,38.0,N/A,88.0,ENE,N/A,0.1,N/A
U2HA4,20221001,23.689722,120.851117,N/A,22.9,N/A,36.0,N/A,88.9,NW,N/A,0.2,N/A
U2HA5,20221006,23.756972,120.681556,N/A,25.0,N/A,22.0,N/A,84.2,WNW,N/A,0.8,N/A
V2K62,20221003,23.753836,120.294783,N/A,24.9,N/A,9.0,N/A,70.9,N,N/A,4.3,N/A
12J99,20221005,23.589978,120.180394,N/A,24.9,N/A,10.5,N/A,73.5,N,N/A,4.3,N/A
12Q97,20221002,22.479997,120.466058,N/A,26.6,N/A,28.0,N/A,67.9,W,N/A,1.5,N/A
12Q98,20221002,22.079678,120.714425,N/A,26.7,N/A,76.5,N/A,64.9,ENE,N/A,7.5,N/A
42HA1,20221001,23.978875,121.139639,N/A,21.2,N/A,47.5,N/A,87.2,W,N/A,0.7,N/A
72AI4,20221004,24.944503,121.386972,N/A,23.5,N/A,346.5,N/A,78.7,E,N/A,3.5,N/A
72C44,20221004,24.950944,121.030583,N/A,23.8,N/A,184.0,N/A,78.2,NE,N/A,6.1,N/A
72D08,20221005,24.612194,121.157167,N/A,18.6,N/A,152.0,N/A,93.2,SSW,N/A,0.7,N/A
72D68,20221004,24.834444,121.066111,N/A,23.6,N/A,55.0,N/A,77.3,NE,N/A,4.1,N/A
72G60,20221005,24.003028,120.534389,N/A,25.3,N/A,6.5,N/A,75.9,N,N/A,2.6,N/A
72HA0,20221001,23.903208,120.963364,N/A,22.3,N/A,77.0,N/A,87.6,W,N/A,0.5,N/A
72K22,20221003,23.634556,120.477333,N/A,25.2,N/A,5.0,N/A,80.3,N,N/A,1.2,N/A
72M36,20221002,23.360694,120.279361,N/A,25.4,N/A,6.0,N/A,74.3,N,N/A,2.4,N/A
72M70,20221001,23.416869,120.283061,N/A,24.9,N/A,7.0,N/A,79.9,NNW,N/A,3.0,N/A
72N10,20221001,23.0605,120.342194,N/A,25.2,N/A,26.5,N/A,81.2,N,N/A,1.3,N/A
72N24,20221005,23.081672,120.062894,N/A,25.6,N/A,6.0,N/A,77.1,NNW,N/A,4.1,N/A
72Q01,20221003,22.709333,120.525889,N/A,26.3,N/A,17.5,N/A,78.2,NW,N/A,0.6,N/A
72S20,20221002,22.829528,121.077694,N/A,24.0,N/A,352.0,N/A,78.2,SSE,N/A,1.7,N/A
72S59,20221002,22.813889,121.071278,N/A,23.3,N/A,410.0,N/A,80.3,ENE,N/A,1.7,N/A
72T25,20221002,23.975222,121.563889,N/A,23.9,N/A,858.5,N/A,84.6,NE,N/A,1.7,N/A
72U48,20221003,24.686306,121.716583,N/A,22.8,N/A,1411.5,N/A,88.1,W,N/A,1.5,N/A
72V14,20221002,22.857861,120.516667,N/A,25.8,N/A,100.0,N/A,81.4,WNW,N/A,1.3,N/A
82A75,20221002,24.955778,121.631222,N/A,20.8,N/A,716.5,N/A,90.1,E,N/A,1.5,N/A
82C16,20221004,24.908472,121.185333,N/A,22.5,N/A,279.5,N/A,84.2,ENE,N/A,2.4,N/A
82H32,20221001,23.875611,120.913583,N/A,21.4,N/A,28.5,N/A,94.8,SW,N/A,0.5,N/A
82H84,20221001,23.762528,120.7405,N/A,23.0,N/A,27.5,N/A,83.2,W,N/A,0.7,N/A
82S58,20221002,22.907694,121.130139,N/A,23.9,N/A,431.5,N/A,81.6,NNE,N/A,1.8,N/A
A2C56,20221003,24.985917,121.239833,N/A,23.1,N/A,208.0,N/A,77.2,E,N/A,1.6,N/A
A2K36,20221002,23.717231,120.190522,N/A,25.2,N/A,0.0,N/A,77.2,N,N/A,4.1,N/A
A2K63,20221006,23.730628,120.423903,N/A,24.5,N/A,5.0,N/A,77.8,N,N/A,2.0,N/A
A2N29,20221001,23.340258,120.379661,N/A,25.1,N/A,4.5,N/A,78.1,N,N/A,1.8,N/A
B2E89,20221022,24.527806,120.770972,N/A,23.9,N/A,10.0,N/A,76.7,SSW,N/A,2.0,N/A
B2N89,20221003,23.058972,120.336406,N/A,25.3,N/A,22.0,N/A,78.7,N,N/A,1.2,N/A
B2Q81,20221004,21.945583,120.802167,N/A,26.2,N/A,240.5,N/A,72.9,ENE,N/A,4.5,N/A
B2U99,20221002,24.669039,121.832561,N/A,22.7,N/A,984.5,N/A,88.4,NW,N/A,2.3,N/A
E2H36,20221001,23.918333,120.885278,N/A,22.1,N/A,40.5,N/A,88.3,W,N/A,0.4,N/A
E2HA2,20221003,24.226944,121.308522,N/A,13.6,N/A,287.5,N/A,85.3,S,N/A,0.4,N/A
E2K60,20221005,23.676986,120.163433,N/A,25.0,N/A,11.5,N/A,77.3,NW,N/A,1.7,N/A
E2P98,20221001,22.991703,120.645722,N/A,24.6,N/A,59.0,N/A,87.0,SW,N/A,0.7,N/A
E2P99,20221005,22.9677,120.685703,N/A,22.0,N/A,55.0,N/A,93.1,E,N/A,0.5,N/A
E2S96,20221006,22.598014,120.989761,N/A,25.3,N/A,403.5,N/A,76.2,N,N/A,2.3,N/A
E2S98,20221002,22.598922,120.980044,N/A,24.4,N/A,448.0,N/A,78.1,W,N/A,1.0,N/A
G2F82,20221003,24.031261,120.688133,N/A,25.0,N/A,47.5,N/A,83.0,NNW,N/A,1.9,N/A
G2L02,20221002,23.485028,120.473806,N/A,24.6,N/A,8.5,N/A,77.3,NNW,N/A,0.9,N/A
G2M35,20221002,23.58565,120.408111,N/A,25.3,N/A,4.0,N/A,79.5,N,N/A,1.7,N/A
G2P82,20221001,22.646611,120.356083,N/A,26.4,N/A,28.0,N/A,75.8,NNW,N/A,1.2,N/A
K2E36,20221003,24.495722,120.829111,N/A,23.3,N/A,19.5,N/A,85.1,N,N/A,3.3,N/A
K2E71,20221005,24.422861,120.871833,N/A,22.0,N/A,18.0,N/A,84.7,NNW,N/A,2.0,N/A
K2F75,20221001,24.225972,120.800917,N/A,22.3,N/A,21.0,N/A,80.6,N,N/A,1.1,N/A
U2H48,20221022,23.670306,120.798194,N/A,18.7,N/A,63.0,N/A,92.3,S,N/A,0.7,N/A
U2HA3,20221001,23.590856,120.888864,N/A,21.3,N/A,38.0,N/A,88.0,ENE,N/A,0.1,N/A
U2HA4,20221001,23.689722,120.851117,N/A,22.9,N/A,36.0,N/A,88.9,NW,N/A,0.2,N/A
U2HA5,20221006,23.756972,120.681556,N/A,25.0,N/A,22.0,N/A,84.2,WNW,N/A,0.8,N/A
V2K62,20221003,23.753836,120.294783,N/A,24.9,N/A,9.0,N/A,70.9,N,N/A,4.3,N/A
12J99,20221005,23.589978,120.180394,N/A,24.9,N/A,10.5,N/A,73.5,N,N/A,4.3,N/A
12Q97,20221002,22.479997,120.466058,N/A,26.6,N/A,28.0,N/A,67.9,W,N/A,1.5,N/A
12Q98,20221002,22.079678,120.714425,N/A,26.7,N/A,76.5,N/A,64.9,ENE,N/A,7.5,N/A
42HA1,20221001,23.978875,121.139639,N/A,21.2,N/A,47.5,N/A,87.2,W,N/A,0.7,N/A
72AI4,20221004,24.944503,121.386972,N/A,23.5,N/A,346.5,N/A,78.7,E,N/A,3.5,N/A
72C44,20221004,24.950944,121.030583,N/A,23.8,N/A,184.0,N/A,78.2,NE,N/A,6.1,N/A
72D08,20221005,24.612194,121.157167,N/A,18.6,N/A,152.0,N/A,93.2,SSW,N/A,0.7,N/A
72D68,20221004,24.834444,121.066111,N/A,23.6,N/A,55.0,N/A,77.3,NE,N/A,4.1,N/A
72G60,20221005,24.003028,120.534389,N/A,25.3,N/A,6.5,N/A,75.9,N,N/A,2.6,N/A
72HA0,20221001,23.903208,120.963364,N/A,22.3,N/A,77.0,N/A,87.6,W,N/A,0.5,N/A
72K22,20221003,23.634556,120.477333,N/A,25.2,N/A,5.0,N/A,80.3,N,N/A,1.2,N/A
72M36,20221002,23.360694,120.279361,N/A,25.4,N/A,6.0,N/A,74.3,N,N/A,2.4,N/A
72M70,20221001,23.416869,120.283061,N/A,24.9,N/A,7.0,N/A,79.9,NNW,N/A,3.0,N/A
72N10,20221001,23.0605,120.342194,N/A,25.2,N/A,26.5,N/A,81.2,N,N/A,1.3,N/A
72N24,20221005,23.081672,120.062894,N/A,25.6,N/A,6.0,N/A,77.1,NNW,N/A,4.1,N/A
72Q01,20221003,22.709333,120.525889,N/A,26.3,N/A,17.5,N/A,78.2,NW,N/A,0.6,N/A
72S20,20221002,22.829528,121.077694,N/A,24.0,N/A,352.0,N/A,78.2,SSE,N/A,1.7,N/A
72S59,20221002,22.813889,121.071278,N/A,23.3,N/A,410.0,N/A,80.3,ENE,N/A,1.7,N/A
72T25,20221002,23.975222,121.563889,N/A,23.9,N/A,858.5,N/A,84.6,NE,N/A,1.7,N/A
72U48,20221003,24.686306,121.716583,N/A,22.8,N/A,1411.5,N/A,88.1,W,N/A,1.5,N/A
72V14,20221002,22.857861,120.516667,N/A,25.8,N/A,100.0,N/A,81.4,WNW,N/A,1.3,N/A
82A75,20221002,24.955778,121.631222,N/A,20.8,N/A,716.5,N/A,90.1,E,N/A,1.5,N/A
82C16,20221004,24.908472,121.185333,N/A,22.5,N/A,279.5,N/A,84.2,ENE,N/A,2.4,N/A
82H32,20221001,23.875611,120.913583,N/A,21.4,N/A,28.5,N/A,94.8,SW,N/A,0.5,N/A
82H84,20221001,23.762528,120.7405,N/A,23.0,N/A,27.5,N/A,83.2,W,N/A,0.7,N/A
82S58,20221002,22.907694,121.130139,N/A,23.9,N/A,431.5,N/A,81.6,NNE,N/A,1.8,N/A
A2C56,20221003,24.985917,121.239833,N/A,23.1,N/A,208.0,N/A,77.2,E,N/A,1.6,N/A
A2K36,20221002,23.717231,120.190522,N/A,25.2,N/A,0.0,N/A,77.2,N,N/A,4.1,N/A
A2K63,20221006,23.730628,120.423903,N/A,24.5,N/A,5.0,N/A,77.8,N,N/A,2.0,N/A
A2N29,20221001,23.340258,120.379661,N/A,25.1,N/A,4.5,N/A,78.1,N,N/A,1.8,N/A
B2E89,20221022,24.527806,120.770972,N/A,23.9,N/A,10.0,N/A,76.7,SSW,N/A,2.0,N/A
B2N89,20221003,23.058972,120.336406,N/A,25.3,N/A,22.0,N/A,78.7,N,N/A,1.2,N/A
B2Q81,20221004,21.945583,120.802167,N/A,26.2,N/A,240.5,N/A,72.9,ENE,N/A,4.5,N/A
B2U99,20221002,24.669039,121.832561,N/A,22.7,N/A,984.5,N/A,88.4,NW,N/A,2.3,N/A
E2H36,20221001,23.918333,120.885278,N/A,22.1,N/A,40.5,N/A,88.3,W,N/A,0.4,N/A
E2HA2,20221003,24.226944,121.308522,N/A,13.6,N/A,287.5,N/A,85.3,S,N/A,0.4,N/A
E2K60,20221005,23.676986,120.163433,N/A,25.0,N/A,11.5,N/A,77.3,NW,N/A,1.7,N/A
E2P98,20221001,22.991703,120.645722,N/A,24.6,N/A,59.0,N/A,87.0,SW,N/A,0.7,N/A
E2P99,20221005,22.9677,120.685703,N/A,22.0,N/A,55.0,N/A,93.1,E,N/A,0.5,N/A
E2S96,20221006,22.598014,120.989761,N/A,25.3,N/A,403.5,N/A,76.2,N,N/A,2.3,N/A
E2S98,20221002,22.598922,120.980044,N/A,24.4,N/A,448.0,N/A,78.1,W,N/A,1.0,N/A
G2F82,20221003,24.031261,120.688133,N/A,25.0,N/A,47.5,N/A,83.0,NNW,N/A,1.9,N/A
G2L02,20221002,23.485028,120.473806,N/A,24.6,N/A,8.5,N/A,77.3,NNW,N/A,0.9,N/A
G2M35,20221002,23.58565,120.408111,N/A,25.3,N/A,4.0,N/A,79.5,N,N/A,1.7,N/A
G2P82,20221001,22.646611,120.356083,N/A,26.4,N/A,28.0,N/A,75.8,NNW,N/A,1.2,N/A
K2E36,20221003,24.495722,120.829111,N/A,23.3,N/A,19.5,N/A,85.1,N,N/A,3.3,N/A
K2E71,20221005,24.422861,120.871833,N/A,22.0,N/A,18.0,N/A,84.7,NNW,N/A,2.0,N/A
K2F75,20221001,24.225972,120.800917,N/A,22.3,N/A,21.0,N/A,80.6,N,N/A,1.1,N/A
U2H48,20221022,23.670306,120.798194,N/A,18.7,N/A,63.0,N/A,92.3,S,N/A,0.7,N/A
U2HA3,20221001,23.590856,120.888864,N/A,21.3,N/A,38.0,N/A,88.0,ENE,N/A,0.1,N/A
U2HA4,20221001,23.689722,120.851117,N/A,22.9,N/A,36.0,N/A,88.9,NW,N/A,0.2,N/A
U2HA5,20221006,23.756972,120.681556,N/A,25.0,N/A,22.0,N/A,84.2,WNW,N/A,0.8,N/A
V2K62,20221003,23.753836,120.294783,N/A,24.9,N/A,9.0,N/A,70.9,N,N/A,4.3,N/A
